PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
743287,North 24 Parganas,Barasat,Chikanpara B.O,AUTOBOTS FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC260893,"VILLAGE SOUTH RAMNAGAR PS BARUIPUR,SOUTH 24 PARAGANAS,Baruipur,South 24 Parganas,West Bengal,743387-India  South 24 Parganas West Bengal 743387 India",https://www.zaubacorp.com/AUTOBOTS-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC260893
743133,North 24 Parganas,North Presidency,Garulia S.O,ICHHAMOTIKUMARGANJ AGRO PRODUCER COMPANY LIMITED,U01611WB2023PTC260903,"J.L NO-201, KHOTIAN NO-128, PASAYA,BOTUN, KUMARGANJ, DAKSHIN DINAJPUR,Kumarganj,South Dinajpur,West Bengal,733133-India  South Dinajpur West Bengal 733133 India",https://www.zaubacorp.com/ICHHAMOTIKUMARGANJ-AGRO-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC260903
741301,Nadia,Nadia North,Char Brahmanagar S.O,NABOKRISHI FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC261038,"C/O. SADHANA BHOWMICK MALLICK,VILL AND PO- C.B. NAGAR, NADIA,Nabadwip,Nadia,West Bengal,741301-India  Nadia West Bengal 741301 India",https://www.zaubacorp.com/NABOKRISHI-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC261038
723130,Puruliya,Purulia,Agardih B.O,MANBAZAR SEVA FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC261090,"Room No.01, C/o. Satrughan Singh,,Chirudih, Chirudih, Pialsol,,Manbazar - II,Puruliya,West Bengal,723131-India  Puruliya West Bengal 723131 India",https://www.zaubacorp.com/MANBAZAR-SEVA-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC261090
721301,West Midnapore,Midnapore,Balarampur B.O,JAKPURKHARAGPUR FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC261149,"C/O-ISWAR BHUNIA, KHOTIAN NO-47, J.L NO-224, PLOT NO-246,JAKPUR, JAKPURKGP, KHARAGPUR, PASCHIM MEDINIPORE,Midnapore,West Midnapore,West Bengal,721301-India  West Midnapore West Bengal 721301 India",https://www.zaubacorp.com/JAKPURKHARAGPUR-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC261149
723131,Puruliya,Purulia,Bargoria B.O,PUNCHA SEVA FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC261251,"Room No.01, C/o. Maheshwar Mandi,,Vill-Saragora, P.o- Kundhurka,,Puncha,Puruliya,West Bengal,723151-India  Puruliya West Bengal 723151 India",https://www.zaubacorp.com/PUNCHA-SEVA-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC261251
741126,Nadia,Nadia North,Arpara B.O,HARANAGAR FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC261328,"C/O NOYAJEB ALI MONDAL, R/O KHOTIAN NO.- 1133, J.L NO.- 31, PLOT NO.- 1061(L.R), BANDAKHOLA,,P.S.- NAKASIPARA, P.O.- MALUMGACHHA,Nakashipara,Nadia,West Bengal,741126-India  Nadia West Bengal 741126 India",https://www.zaubacorp.com/HARANAGAR-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC261328
723133,Puruliya,Purulia,Agaibari B.O,ATRYEE AGRO PRODUCER COMPANY LIMITED,U01611WB2023PTC261540,"C/O-DIPANKAR SAEKAR, J.L NO-190, KHOTIAN NO-445, MANOIL,PATIRAM, BALURGHAT, DAKSHIN DINAJPUR,Kumarganj,South Dinajpur,West Bengal,733133-India  South Dinajpur West Bengal 733133 India",https://www.zaubacorp.com/ATRYEE-AGRO-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC261540
700009,Kolkata,Kolkata East,Parsibagan S.O,CHITRANKAN VYAPAR PRIVATE LIMITED,U01611WB2023PTC261639,"4,M G ROAD,ROOM NO-3A,KOLKATA-700009,Amherst Street,Kolkata,West Bengal,700009-India  Kolkata West Bengal 700009 India",https://www.zaubacorp.com/CHITRANKAN-VYAPAR-PRIVATE-LIMITED-U01611WB2023PTC261639
721211,West Midnapore,Midnapore,Barhgobinda B.O,SEELABATI FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC261643,"VILLAGE RAJNAGAR PO CHETUA,RAJNAGAR DASPUR-1 PASCHIM MEDINIPUR,Hgatal,West Midnapore,West Bengal,721211-India  West Midnapore West Bengal 721211 India",https://www.zaubacorp.com/SEELABATI-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC261643
