PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
700090,Kolkata,Kolkata North,Netaji Colony S.O,UPTAKE INFRADEAL PRIVATE LIMITED,U70109WB2022PTC255066,"1/29A GARIAHAT ROAD JODHPUR PARK   , KOLKATA, West Bengal, India - 700068  KOLKATA West Bengal 700090 India",https://www.zaubacorp.com/UPTAKE-INFRADEAL-PRIVATE-LIMITED-U70109WB2022PTC255066
700035,Kolkata,Kolkata North,Alambazar S.O,SHREE VENKATESHWARA SWAMI REALTY PRIVATE LIMITED,U70109WB2022PTC255127,"BL-KALI, 4TH FLOOR, FL-4A 12 BARRISTER P MITRA ROAD   , KOLKATA, West Bengal, India - 700035  KOLKATA West Bengal 700035 India",https://www.zaubacorp.com/SHREE-VENKATESHWARA-SWAMI-REALTY-PRIVATE-LIMITED-U70109WB2022PTC255127
700125,North 24 Parganas,Barasat,Kadambagachi B.O,AL AMIN REAL ESTATES PRIVATE LIMITED,U70109WB2022PTC255228,"MD NAZRUL ISLAM, S/O SULTAN AHMED RAMKRISHNAPUR ROAD, KAZIPARA   , BARASAT, West Bengal, India - 700125  BARASAT West Bengal 700125 India",https://www.zaubacorp.com/AL-AMIN-REAL-ESTATES-PRIVATE-LIMITED-U70109WB2022PTC255228
700068,Kolkata,Calcutta South,Jodhpur Park S.O,GROWFAST COMMODEAL PRIVATE LIMITED,U70109WB2022PTC255237,"1/29A GARIAHAT ROAD JODHPUR PARK   , KOLKATA, West Bengal, India - 700068  KOLKATA West Bengal 700068 India",https://www.zaubacorp.com/GROWFAST-COMMODEAL-PRIVATE-LIMITED-U70109WB2022PTC255237
700135,North 24 Parganas,Barasat,Akandakeshari B.O,EXCLAVE COMMOSALES PRIVATE LIMITED,U70109WB2022PTC255369,"MOUZA KHAMAR BISHNUPUR LANGOLPOTA RAJARHAT   , KOLKATA, West Bengal, India - 700135  KOLKATA West Bengal 700135 India",https://www.zaubacorp.com/EXCLAVE-COMMOSALES-PRIVATE-LIMITED-U70109WB2022PTC255369
700150,South 24 Parganas,South Presidency,Hadia B.O,DISHA CONRA PRIVATE LIMITED,U70109WB2022PTC255445,"HOLDING NO-178, WARD NO.13, PASCHIM BAIDYA PARA, P.O. SONARPUR   , KOLKATA, West Bengal, India - 700150  KOLKATA West Bengal 700150 India",https://www.zaubacorp.com/DISHA-CONRA-PRIVATE-LIMITED-U70109WB2022PTC255445
700099,Kolkata,Calcutta South,Kalikapur S.O,DIVYALOK CONSTRUCTION PRIVATE LIMITED,U70109WB2022PTC255453,"921/1 KRISHAK SAMMILANI BARAKHOLA   , KOLKATA, West Bengal, India - 700099  KOLKATA West Bengal 700099 India",https://www.zaubacorp.com/DIVYALOK-CONSTRUCTION-PRIVATE-LIMITED-U70109WB2022PTC255453
700080,Kolkata,Kolkata North,Jessore Road S.O,PAPIYA BUILDCON PRIVATE LIMITED,U70109WB2022PTC255459,"10/39, N C SEN AVENUE   , KOLKATA, West Bengal, India - 700080  KOLKATA West Bengal 700080 India",https://www.zaubacorp.com/PAPIYA-BUILDCON-PRIVATE-LIMITED-U70109WB2022PTC255459
700098,North 24 Parganas,Kolkata East,Bidhan Nagar Sai Complex S.O,WELLGROW PROJECTS PRIVATE LIMITED,U70109WB2022PTC255624,"GATE NO-1 &2 ,SALTLAKE STADIUM , SALTLAKE GROUND FLOOR  , Saltlake, West Bengal, India - 700098  Saltlake West Bengal 700001 India",https://www.zaubacorp.com/WELLGROW-PROJECTS-PRIVATE-LIMITED-U70109WB2022PTC255624
700051,North 24 Parganas,North Presidency,Birati S.O,NAPADA INDIA PRIVATE LIMITED,U70109WB2022PTC255767,"C/O SUBRATA PAL, 469/1, S. G. DUTTA ROAD FARIDPUR PALLY, BIRATI   , KOLKATA, West Bengal, India - 700051  KOLKATA West Bengal 700051 India",https://www.zaubacorp.com/NAPADA-INDIA-PRIVATE-LIMITED-U70109WB2022PTC255767
700102,North 24 Parganas,Kolkata East,Krishnapur S.O (North 24 Parganas),AAPON NIVAS PRIVATE LIMITED,U70109WB2022PTC255845,"DAG NO-4532, POLE NO-78, N P-356/1, PURBA PARA, NAYAPATTY, SALT LAKE,   , KOLKATA, West Bengal, India - 700102  KOLKATA West Bengal 700102 India",https://www.zaubacorp.com/AAPON-NIVAS-PRIVATE-LIMITED-U70109WB2022PTC255845
741101,Nadia,Nadia North,Aminbazar S.O,KRISHNAGAR MANAGEMENT SERVICES PRIVATE LIMITED,U70109WB2022PTC255932,"HOUSE NO. 11, PLOT- 2, 52 RAIPUKUR LANE OPP. PANTHATIRTHA, NH-34   , KRISHNANAGAR, West Bengal, India - 741101  KRISHNANAGAR West Bengal 741101 India",https://www.zaubacorp.com/KRISHNAGAR-MANAGEMENT-SERVICES-PRIVATE-LIMITED-U70109WB2022PTC255932
700014,Kolkata,Kolkata Central,Asylum Lane S.O,GILBANE DEVELOPERS PRIVATE LIMITED,U70109WB2022PTC256194,"11 G TANTIBAGAN ROAD   , KOLKATA, West Bengal, India - 700014  KOLKATA West Bengal 700014 India",https://www.zaubacorp.com/GILBANE-DEVELOPERS-PRIVATE-LIMITED-U70109WB2022PTC256194
700014,Kolkata,Kolkata Central,Asylum Lane S.O,AZURA DEVELOPERS PRIVATE LIMITED,U70109WB2022PTC256233,"11 G TANTIBAGAN ROAD   , KOLKATA, West Bengal, India - 700014  KOLKATA West Bengal 700014 India",https://www.zaubacorp.com/AZURA-DEVELOPERS-PRIVATE-LIMITED-U70109WB2022PTC256233
741252,Nadia,Nadia South,Krishivisyavidyalaya S.O,ITKO REALITY PRIVATE LIMITED,U70109WB2022PTC256243,"C/O MUNMUN DEBNATH, VILL-GOBARDANGA BAZAR   , GOBARDANGA, West Bengal, India - 743252  GOBARDANGA West Bengal 743252 India",https://www.zaubacorp.com/ITKO-REALITY-PRIVATE-LIMITED-U70109WB2022PTC256243
700131,North 24 Parganas,Barasat,Aharampur B.O,GGL ELEMENTS PRIVATE LIMITED,U70109WB2022PTC256309,"Basudha, 33 & 35 APC Road, P.O.- NBKP  , Habra - I, West Bengal, India - 700131  Habra - I West Bengal 700131 India",https://www.zaubacorp.com/GGL-ELEMENTS-PRIVATE-LIMITED-U70109WB2022PTC256309
700131,North 24 Parganas,Barasat,Aharampur B.O,GGL HOMESMART PRIVATE LIMITED,U70109WB2022PTC256319,"Basudha, 33 & 35 APC Road, P.O.- NBKP  , Habra - I, West Bengal, India - 700131  Habra - I West Bengal 700131 India",https://www.zaubacorp.com/GGL-HOMESMART-PRIVATE-LIMITED-U70109WB2022PTC256319
700131,North 24 Parganas,Barasat,Aharampur B.O,GGL PINEWOODS PRIVATE LIMITED,U70109WB2022PTC256326,"Basudha, 33 & 35 APC Road, P.O.- NBKP  , Habra - I, West Bengal, India - 700131  Habra - I West Bengal 700131 India",https://www.zaubacorp.com/GGL-PINEWOODS-PRIVATE-LIMITED-U70109WB2022PTC256326
700091,North 24 Parganas,Kolkata East,Bidhan Nagar CK Market S.O,LURRA TOWERS PRIVATE LIMITED,U70109WB2022PTC256790,"DN-1, SECTOR-5, SALT LAKE, 6TH FLOOR, KOLKATA Kolkata WB 700091 IN  Kolkata West Bengal 700091",https://www.zaubacorp.com/LURRA-TOWERS-PRIVATE-LIMITED-U70109WB2022PTC256790
