PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
700160,North 24 Parganas,Kolkata East,New Town Action Area III,RAGHUVIR VANIJYA PVT LTD,U51109WB1995PTC070909,"‘Ecospace Business Park’, Block – 4B, 6th Floor Premises No. IIF/11, Action Area III, Ne w Town,  , Kolkata, West Bengal, India - 700160  Kolkata West Bengal 700160 India",https://www.zaubacorp.com/RAGHUVIR-VANIJYA-PVT-LTD-U51109WB1995PTC070909
700003,Kolkata,Kolkata North,Amrita Bazar Partika S.O,SAP AGENCIES PVT.LTD.,U51109WB1995PTC070941,"1, ANNADA NEOGY LANE   , KOLKATA, West Bengal, India - 700003  KOLKATA West Bengal 700003 India",https://www.zaubacorp.com/SAP-AGENCIES-PVT-LTD-U51109WB1995PTC070941
700071,Kolkata,Kolkata Central,Little Russel Street S.O,GYANDEEP MERCHANTS PVT.LTD.,U51109WB1995PTC070982,"2 RUSSEL ST   , KOLKATA, West Bengal, India - 700071  KOLKATA West Bengal 700071 India",https://www.zaubacorp.com/GYANDEEP-MERCHANTS-PVT-LTD-U51109WB1995PTC070982
700064,North 24 Parganas,Kolkata East,Bidhan Nagar AE Market S.O,WELLAREA TRADING PVT.LTD.,U51109WB1995PTC071116,"EC-,Sector-1, Salt Lake City   , Kolkata, West Bengal, India - 700064  Kolkata West Bengal 700064 India",https://www.zaubacorp.com/WELLAREA-TRADING-PVT-LTD-U51109WB1995PTC071116
700048,North 24 Parganas,Kolkata East,Patipukur S.O,UPAVAN MARKETING SERVICES PVT.LTD.,U51109WB1995PTC071175,"30/4 JESSORE RD   , KOLKATA, West Bengal, India - 700048  KOLKATA West Bengal 700048 India",https://www.zaubacorp.com/UPAVAN-MARKETING-SERVICES-PVT-LTD-U51109WB1995PTC071175
700069,Kolkata,Kolkata Central,Esplanade S.O,MARUDHAR SUPPLIERS PVT LTD,U51109WB1995PTC071430,"64 BENTINCK STEET   , KOLKATA, West Bengal, India - 700069  KOLKATA West Bengal 700069 India",https://www.zaubacorp.com/MARUDHAR-SUPPLIERS-PVT-LTD-U51109WB1995PTC071430
700108,Kolkata,Kolkata North,Ashokegarh S.O,AWAGAMAN TIE-UP PVT.LTD.,U51109WB1995PTC071455,"206 RABINDRA NAGAR, DUNLOP   , KOLKATA, West Bengal, India - 700108  KOLKATA West Bengal 700108 India",https://www.zaubacorp.com/AWAGAMAN-TIE-UP-PVT-LTD-U51109WB1995PTC071455
700085,Kolkata,Kolkata East,K.G Bose Sarani S.O,HEDA TRADING COMPANY PVT.LTD.,U51109WB1995PTC071484,"C/O TARAKESHWAR PRASAD 132B/1C, RAJA RAJENDRALAL MITRA ROAD   , KOLKATA, West Bengal, India - 700085  KOLKATA West Bengal 700085 India",https://www.zaubacorp.com/HEDA-TRADING-COMPANY-PVT-LTD-U51109WB1995PTC071484
700002,Kolkata,Kolkata North,Cossipore Gun Factory S.O,AMBUJA INFOTECH PVT LTD,U51109WB1995PTC071956,"111, COSSIPORE ROAD, IST FLOOR   , KOLKATA, West Bengal, India - 700002  KOLKATA West Bengal 700002 India",https://www.zaubacorp.com/AMBUJA-INFOTECH-PVT-LTD-U51109WB1995PTC071956
700069,Kolkata,Kolkata Central,Esplanade S.O,NUFIELD COMMERCIAL PVT.LTD.,U51109WB1995PTC072000,"6 WATERLOO ST   , KOLKATA, West Bengal, India - 700069  KOLKATA West Bengal 700069 India",https://www.zaubacorp.com/NUFIELD-COMMERCIAL-PVT-LTD-U51109WB1995PTC072000
700003,Kolkata,Kolkata North,Amrita Bazar Partika S.O,RADHA KRISHNA INTERNATIONAL PVT LTD,U51109WB1995PTC072102,"24 GIRISH AVENUE   , KOLKATA, West Bengal, India - 700003  KOLKATA West Bengal 700003 India",https://www.zaubacorp.com/RADHA-KRISHNA-INTERNATIONAL-PVT-LTD-U51109WB1995PTC072102
700003,Kolkata,Kolkata North,Amrita Bazar Partika S.O,SELEHIUM DISTRIBUTORS PVT LTD,U51109WB1995PTC072622,"G.D.LAKSHMI APPTMENT, 541 A RABINDRA SARANI   , KOL, West Bengal, India - 700003  KOL West Bengal 700003 India",https://www.zaubacorp.com/SELEHIUM-DISTRIBUTORS-PVT-LTD-U51109WB1995PTC072622
700014,Kolkata,Kolkata Central,Asylum Lane S.O,JUPAX ENGINEERS PVT.LTD.,U51109WB1995PTC072661,"63 ANANDA PALIT ROAD   , KOLKATA, West Bengal, India - 700014  KOLKATA West Bengal 700014 India",https://www.zaubacorp.com/JUPAX-ENGINEERS-PVT-LTD-U51109WB1995PTC072661
700069,Kolkata,Kolkata Central,Esplanade S.O,SUKESH SALES PROMOTION PVT LTD,U51109WB1995PTC072678,"60 BENTICK STREET   , KOLKATA, West Bengal, India - 700069  KOLKATA West Bengal 700069 India",https://www.zaubacorp.com/SUKESH-SALES-PROMOTION-PVT-LTD-U51109WB1995PTC072678
