PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
741156,Nadia,Nadia North,Bali B.O,PRARTHANA BHAWAN BROADCASTING PRIVATE LIMITED,U22130PB2011PTC035376,"PRABHU YESU DA, PRARTHANA BHAWAN YESU NAGAR, PIND MANCHIAN KHURD   , LUDHIANA, Punjab, India - 141126  LUDHIANA Punjab 141126 India",https://www.zaubacorp.com/PRARTHANA-BHAWAN-BROADCASTING-PRIVATE-LIMITED-U22130PB2011PTC035376
743411,North 24 Parganas,Barasat,Basirhat Bazar S.O,MANISHA ISA DASS MEDIA HOUSE PRIVATE LIMITED,U22130PB2013PTC037531,"415 GURU AMAR DASS AVENUE TARN TARAN   , TARN TARAN, Punjab, India - 143401  TARN TARAN Punjab 143401 India",https://www.zaubacorp.com/MANISHA-ISA-DASS-MEDIA-HOUSE-PRIVATE-LIMITED-U22130PB2013PTC037531
741202,Nadia,Nadia South,Chapra B.O,SURIN MEDIA DESIGNS PRIVATE LIMITED,U22130PB2014PTC038853,"272-B, MODEL TOWN EXTENSION   , LUDHIANA, Punjab, India - 141002  LUDHIANA Punjab 141002 India",https://www.zaubacorp.com/SURIN-MEDIA-DESIGNS-PRIVATE-LIMITED-U22130PB2014PTC038853
741508,Nadia,Nadia South,Digambarpur B.O,MAVONE STUDIOS PRIVATE LIMITED,U22130PB2021PTC052676,"B II/331, PINK VIHAR, GT ROAD   , Ludhiana, Punjab, India - 141008  Ludhiana Punjab 141008 India",https://www.zaubacorp.com/MAVONE-STUDIOS-PRIVATE-LIMITED-U22130PB2021PTC052676
700005,Kolkata,Kolkata North,Ahritola S.O,EASTERN TYPE FOUNDRY AND ORIENTAL PRINTING WORKS PVT LTD,U22130WB1939PTC009812,"18 BRINDABAN BYSACK STREET   , KOLKATA, West Bengal, India - 700005  KOLKATA West Bengal 700005 India",https://www.zaubacorp.com/EASTERN-TYPE-FOUNDRY-AND-ORIENTAL-PRINTING-WORKS-PVT-LTD-U22130WB1939PTC009812
743128,North 24 Parganas,North Presidency,Athpur S.O,CITY MASK AD PROCESSOR PRIVATE LIMITED,U22130WB1999PTC090218,"45 ANNAPURNA DEVI ROADTITAGARH   , 24 PGS N, West Bengal, India - 743188  24 PGS N West Bengal 743188 India",https://www.zaubacorp.com/CITY-MASK-AD-PROCESSOR-PRIVATE-LIMITED-U22130WB1999PTC090218
700028,Kolkata,Kolkata North,Dumdum S.O,SAREGAMA REGENCY OPTIMEDIA PRIVATE LIMITED,U22130WB2007PTC114373,"33, Jessore Road Dum Dum   , Kolkata, West Bengal, India - 700028  Kolkata West Bengal 700028 India",https://www.zaubacorp.com/SAREGAMA-REGENCY-OPTIMEDIA-PRIVATE-LIMITED-U22130WB2007PTC114373
700014,Kolkata,Kolkata Central,Asylum Lane S.O,ALL TIME NEWS BANGLA PRIVATE LIMITED,U22130WB2008PTC121312,"P-73 CIT ROAD   , KOLKATA, West Bengal, India - 700014  KOLKATA West Bengal 700014 India",https://www.zaubacorp.com/ALL-TIME-NEWS-BANGLA-PRIVATE-LIMITED-U22130WB2008PTC121312
700063,Kolkata,Calcutta South,Kalagachia S.O (Kolkata),EMOTIONS INFOMEDIA PRIVATE LIMITED,U22130WB2008PTC123002,"3, BHATTACHARYA PARA ROAD THAKURPUKUR   , KOLKATA, West Bengal, India - 700063  KOLKATA West Bengal 700063 India",https://www.zaubacorp.com/EMOTIONS-INFOMEDIA-PRIVATE-LIMITED-U22130WB2008PTC123002
741235,Nadia,Nadia South,Bidhanpark S.O,XI TECH SOLUTIONS PRIVATE LIMITED,U22130WB2008PTC125780,"B - 7/111, KALYANI P.O. & P.S. KALYANI   , KALYANI, West Bengal, India - 741235  KALYANI West Bengal 741235 India",https://www.zaubacorp.com/XI-TECH-SOLUTIONS-PRIVATE-LIMITED-U22130WB2008PTC125780
